year,subject,level,position,school_id,school_name,slug,city,voivodeship,score,voivodeship_position,voivodeship_total,is_public
2021,mathematics,rozszerzony,1,019c23e1-616e-74f1-adca-e1dedd7eaa21,GDAŃSKIE SZKOŁY AUTONOMICZNE GDAŃSKIE LICEUM AUTONOMICZNE,gdansk/liceum-ogolnoksztalcace/gdanskie-szkoly-autonomiczne-gdanskie-liceum-autonomiczne-86002,Gdańsk,POMORSKIE,74.9,1,122,False
2021,mathematics,rozszerzony,2,019c23dc-2668-7cf6-9536-25ec03b8c5be,III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZ. DWUJĘZYCZNYMI IM. MARYNARKI WOJENNEJ RP,gdynia/liceum-ogolnoksztalcace/iii-liceum-ogolnoksztalcace-z-oddz-dwujezycznymi-im-marynarki-wojennej-rp-29583,Gdynia,POMORSKIE,70.46,2,122,True
2021,mathematics,rozszerzony,3,019c23d8-cacf-7d04-b631-09a030bf5a2c,I LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/i-liceum-ogolnoksztalcace-im-mikolaja-kopernika-w-gdansku-7753,Gdańsk,POMORSKIE,62.76,3,122,True
2021,mathematics,rozszerzony,4,019c23d8-ae37-7bc1-a2a8-f92b0f783fb8,V LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/v-liceum-ogolnoksztalcace-im-stefana-zeromskiego-w-gdansku-7051,Gdańsk,POMORSKIE,59.1,4,122,True
2021,mathematics,rozszerzony,5,019c23a3-5615-78cb-abcc-4d7104553fe0,VI LICEUM OGÓLNOKSZTAŁCĄCE IM. WACŁAWA SIERPIŃSKIEGO,gdynia/liceum-ogolnoksztalcace/vi-liceum-ogolnoksztalcace-im-waclawa-sierpinskiego-3640,Gdynia,POMORSKIE,57.65,5,122,True
2021,mathematics,rozszerzony,6,019c23e0-37ae-7ea3-9fbf-da9c7dee8e1a,II LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. WŁADYSŁAWA PNIEWSKIEGO W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/ii-liceum-ogolnoksztalcace-im-dr-wladyslawa-pniewskiego-w-gdansku-74772,Gdańsk,POMORSKIE,54.17,6,122,True
2021,mathematics,rozszerzony,7,019c23dc-6645-7e40-85b7-27f86cbc5d5e,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JANA PAWŁA II W GDYNI,gdynia/liceum-ogolnoksztalcace/katolickie-liceum-ogolnoksztalcace-im-sw-jana-pawla-ii-w-gdyni-31207,Gdynia,POMORSKIE,53.44,8,122,True
2021,mathematics,rozszerzony,8,019c23d8-b1fe-75d8-acac-8d2487fd86af,III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATERÓW WESTERPLATTE W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/iii-liceum-ogolnoksztalcace-z-oddzialami-dwujezycznymi-im-bohaterow-westerplatte-w-gdansku-7099,Gdańsk,POMORSKIE,52.56,10,122,True
2021,mathematics,rozszerzony,9,019c23a3-560a-7f50-9455-d335ba48b0d2,X LICEUM OGÓLNOKSZTAŁCĄCE IM. GDYŃSKICH NAUCZYCIELI BOHATERÓW II WOJNY ŚWIATOWEJ,gdynia/liceum-ogolnoksztalcace/x-liceum-ogolnoksztalcace-im-gdynskich-nauczycieli-bohaterow-ii-wojny-swiatowej-3620,Gdynia,POMORSKIE,52.16,11,122,True
2021,mathematics,rozszerzony,10,019c23d8-a94f-7be1-9898-adc018e38fc9,XX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ZBIGNIEWA HERBERTA W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/zespol-szkol-ogolnoksztalcacych-nr-12-xx-liceum-ogolnoksztalcace-z-oddzialami-dwujezycznymi-im-zbigniewa-herberta-w-gdansku-6968,Gdańsk,POMORSKIE,52.02,12,122,True
2021,mathematics,rozszerzony,11,019c23db-377c-75c2-9891-7d0c9cfefc2b,II LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ADAMA MICKIEWICZA,gdynia/liceum-ogolnoksztalcace/ii-liceum-ogolnoksztalcace-z-oddzialami-dwujezycznymi-im-adama-mickiewicza-23199,Gdynia,POMORSKIE,42.34,18,122,True
2021,mathematics,rozszerzony,12,019c23d9-4d0f-7ef0-868b-44892ed81157,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/viii-liceum-ogolnoksztalcace-im-komisji-edukacji-narodowej-w-gdansku-11182,Gdańsk,POMORSKIE,36.93,25,122,True
2021,mathematics,rozszerzony,13,019c23c2-580b-7835-9e2f-61dcc854cebd,OGÓLNOKSZTAŁCĄCE LICEUM JEZUITÓW Z ODDZIAŁAMI DWUJĘZYCZNYMI IM ŚW. STANISŁAWA KOSTKI W GDYNI,gdynia/liceum-ogolnoksztalcace/ogolnoksztalcace-liceum-jezuitow-z-oddzialami-dwujezycznymi-im-sw-stanislawa-kostki-w-gdyni-6128,Gdynia,POMORSKIE,36.67,26,122,False
2021,mathematics,rozszerzony,14,019c23e6-6337-7693-b82e-ab2a9ded4f58,XVII LICEUM OGÓLNOKSZTAŁCĄCE W GDYNI,gdynia/liceum-ogolnoksztalcace/xvii-liceum-ogolnoksztalcace-w-gdyni-196346,Gdynia,POMORSKIE,36.47,27,122,True
