year,subject,level,position,school_id,school_name,slug,city,voivodeship,score,voivodeship_position,voivodeship_total,is_public
2021,overall,rozszerzony,1,019c23dc-2668-7cf6-9536-25ec03b8c5be,III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZ. DWUJĘZYCZNYMI IM. MARYNARKI WOJENNEJ RP,gdynia/liceum-ogolnoksztalcace/iii-liceum-ogolnoksztalcace-z-oddz-dwujezycznymi-im-marynarki-wojennej-rp-29583,Gdynia,POMORSKIE,80.27,3,230,True
2021,overall,rozszerzony,2,019c23e4-6770-765b-aa7a-25649e616a45,LICEUM AKADEMII DOBREJ EDUKACJI IM. MACIEJA PŁAŻYŃSKIEGO,gdansk/liceum-ogolnoksztalcace/liceum-akademii-dobrej-edukacji-im-macieja-plazynskiego-122271,Gdańsk,POMORSKIE,79.8,4,230,False
2021,overall,rozszerzony,3,019c23e1-616e-74f1-adca-e1dedd7eaa21,GDAŃSKIE SZKOŁY AUTONOMICZNE GDAŃSKIE LICEUM AUTONOMICZNE,gdansk/liceum-ogolnoksztalcace/gdanskie-szkoly-autonomiczne-gdanskie-liceum-autonomiczne-86002,Gdańsk,POMORSKIE,76.23,5,230,False
2021,overall,rozszerzony,4,019c23e2-8cfe-7032-91a5-33ece1af3438,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA II ST. W GDAŃSKU,gdansk/ogolnoksztalcaca-szkola-muzyczna-ii-stopnia/ogolnoksztalcaca-szkola-muzyczna-ii-st-w-gdansku-103727,Gdańsk,POMORSKIE,72.28,7,230,True
2021,overall,rozszerzony,5,019c23d8-ae37-7bc1-a2a8-f92b0f783fb8,V LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA ŻEROMSKIEGO W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/v-liceum-ogolnoksztalcace-im-stefana-zeromskiego-w-gdansku-7051,Gdańsk,POMORSKIE,70.84,8,230,True
2021,overall,rozszerzony,6,019c23d8-cacf-7d04-b631-09a030bf5a2c,I LICEUM OGÓLNOKSZTAŁCĄCE IM. MIKOŁAJA KOPERNIKA W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/i-liceum-ogolnoksztalcace-im-mikolaja-kopernika-w-gdansku-7753,Gdańsk,POMORSKIE,69.13,9,230,True
2021,overall,rozszerzony,7,019c23e0-37ae-7ea3-9fbf-da9c7dee8e1a,II LICEUM OGÓLNOKSZTAŁCĄCE IM. DR. WŁADYSŁAWA PNIEWSKIEGO W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/ii-liceum-ogolnoksztalcace-im-dr-wladyslawa-pniewskiego-w-gdansku-74772,Gdańsk,POMORSKIE,68.32,10,230,True
2021,overall,rozszerzony,8,019c23a3-5615-78cb-abcc-4d7104553fe0,VI LICEUM OGÓLNOKSZTAŁCĄCE IM. WACŁAWA SIERPIŃSKIEGO,gdynia/liceum-ogolnoksztalcace/vi-liceum-ogolnoksztalcace-im-waclawa-sierpinskiego-3640,Gdynia,POMORSKIE,67.86,11,230,True
2021,overall,rozszerzony,9,019c23d8-b1fe-75d8-acac-8d2487fd86af,III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATERÓW WESTERPLATTE W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/iii-liceum-ogolnoksztalcace-z-oddzialami-dwujezycznymi-im-bohaterow-westerplatte-w-gdansku-7099,Gdańsk,POMORSKIE,65.61,13,230,True
2021,overall,rozszerzony,10,019c23dc-6645-7e40-85b7-27f86cbc5d5e,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JANA PAWŁA II W GDYNI,gdynia/liceum-ogolnoksztalcace/katolickie-liceum-ogolnoksztalcace-im-sw-jana-pawla-ii-w-gdyni-31207,Gdynia,POMORSKIE,65.56,14,230,True
2021,overall,rozszerzony,11,019c23a3-560a-7f50-9455-d335ba48b0d2,X LICEUM OGÓLNOKSZTAŁCĄCE IM. GDYŃSKICH NAUCZYCIELI BOHATERÓW II WOJNY ŚWIATOWEJ,gdynia/liceum-ogolnoksztalcace/x-liceum-ogolnoksztalcace-im-gdynskich-nauczycieli-bohaterow-ii-wojny-swiatowej-3620,Gdynia,POMORSKIE,65.35,15,230,True
2021,overall,rozszerzony,12,019c23dc-f7d3-7885-a255-3ec8ba03b3c8,ZESPÓŁ SZKÓŁ KREOWANIA WIZERUNKU W GDAŃSKU - TECHNIKUM NR 9 IM.XYMENY ZANIEWSKIEJ,gdansk/technikum/zespol-szkol-kreowania-wizerunku-w-gdansku-technikum-nr-9-im-xymeny-zaniewskiej-40819,Gdańsk,POMORSKIE,64.93,17,230,True
2021,overall,rozszerzony,13,019c23e0-d61c-7be4-8f69-e856f05c746a,GDAŃSKIE LICEUM OGÓLNOKSZTAŁCĄCE,gdansk/liceum-ogolnoksztalcace/gdanskie-liceum-ogolnoksztalcace-81755,Gdańsk,POMORSKIE,64.29,19,230,False
2021,overall,rozszerzony,14,019c23d8-a94f-7be1-9898-adc018e38fc9,XX LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ZBIGNIEWA HERBERTA W GDAŃSKU,gdansk/liceum-ogolnoksztalcace/zespol-szkol-ogolnoksztalcacych-nr-12-xx-liceum-ogolnoksztalcace-z-oddzialami-dwujezycznymi-im-zbigniewa-herberta-w-gdansku-6968,Gdańsk,POMORSKIE,63.14,22,230,True
